monkey_id,body,face
0,"(0, 0, 3482, 5472)","(1320, 15, 3343, 2092)"
1,"(0, 15, 3559, 5472)","(1251, 0, 3227, 1628)"
2,"(371, 525, 3543, 5472)","(432, 517, 1860, 2130)"
3,"(463, 1945, 3134, 5163)","(556, 1945, 1860, 3056)"
4,"(8, 0, 1413, 4013)","(0, 0, 1382, 1698)"
5,"(2208, 712, 5122, 3648)","(2237, 730, 3573, 2244)"
6,"(2255, 2131, 4677, 3648)","(2321, 2143, 3371, 3199)"
7,"(677, 53, 2766, 3648)","(712, 59, 2160, 1911)"
8,"(2059, 611, 5353, 3624)","(4030, 605, 5353, 2279)"
9,"(1513, 2030, 3751, 3648)","(2594, 2060, 3727, 3199)"
10,"(593, 30, 3193, 3648)","(706, 36, 2042, 1905)"
11,"(1776, 1243, 3648, 5472)","(2092, 1243, 3574, 2771)"
12,"(1822, 2755, 3281, 5472)","(2015, 2809, 3188, 3952)"
13,"(77, 834, 2308, 5217)","(139, 864, 2030, 2447)"
14,"(772, 1528, 2617, 4793)","(1498, 1567, 2571, 2732)"
15,"(764, 1683, 2578, 4932)","(1436, 1752, 2486, 2817)"
16,"(417, 1605, 2540, 4685)","(1428, 1621, 2517, 2647)"
17,"(386, 1389, 2115, 4770)","(1127, 1420, 2053, 2377)"
18,"(944, 184, 2920, 3514)","(1662, 226, 2463, 1051)"
19,"(1799, 610, 3648, 5472)","(2216, 702, 3605, 2161)"
20,"(2246, 2477, 3648, 4816)","(2432, 2508, 3018, 3434)"
21,"(170, 401, 2192, 4830)","(340, 509, 1976, 2068)"
22,"(2967, 421, 5472, 3648)","(2938, 445, 4131, 1810)"
23,"(3039, 1668, 4997, 3324)","(3092, 1710, 3982, 2564)"
24,"(0, 6, 2902, 3648)","(540, 0, 2131, 1454)"
25,"(1194, 398, 3285, 3354)","(1579, 398, 2724, 1484)"
26,"(1660, 1466, 3605, 5472)","(1660, 1490, 3173, 2971)"
27,,"(2069, 2917, 2625, 3890)"
28,"(185, 927, 2439, 4615)","(224, 972, 2077, 2385)"
29,"(1490, 249, 4475, 3648)","(1507, 231, 3466, 2042)"
30,"(46, 316, 3640, 5472)","(46, 316, 3011, 2925)"
31,"(0, 100, 3648, 5472)","(317, 162, 3404, 3056)"
32,"(371, 316, 3559, 5333)","(1204, 324, 2810, 1814)"
33,"(1011, 594, 3644, 5271)","(1490, 664, 2964, 2153)"
34,"(23, 249, 3127, 5472)","(1034, 247, 3072, 2238)"
35,"(31, 39, 3435, 5472)","(1467, 46, 3389, 2084)"
36,"(0, 0, 3451, 5410)","(1644, 0, 3497, 1775)"
37,"(30, 0, 4879, 3648)","(2226, 0, 4968, 2048)"
38,"(0, 131, 3451, 5472)","(1027, 224, 2880, 2038)"
39,"(23, 610, 3103, 5472)","(1382, 756, 2756, 2246)"
40,"(201, 556, 2887, 5472)","(1235, 671, 2656, 2200)"
41,"(15, 15, 3648, 5472)","(455, 0, 3397, 2562)"
42,"(0, 69, 3648, 5472)","(749, 31, 3505, 2640)"
43,"(0, 972, 3381, 5472)","(973, 1034, 3265, 3242)"
44,"(15, 571, 3088, 5472)","(703, 563, 3049, 2817)"
45,"(491, 2724, 3648, 5472)","(2061, 2732, 3312, 4083)"
46,"(0, 424, 3466, 4785)","(1606, 486, 3242, 2068)"
47,"(131, 695, 3648, 5364)","(1845, 764, 3497, 2207)"
48,"(0, 587, 3404, 5225)","(1505, 540, 3211, 2169)"
49,"(340, 972, 3648, 5472)","(625, 996, 2131, 2508)"
50,"(973, 1945, 2571, 4808)","(1034, 1999, 1984, 2910)"
51,,"(23, 0, 3648, 4569)"
52,,"(0, 0, 3648, 4801)"
