jpg_id,monkey_names
0,DF2I
1,DF2I
2,7124
2,110E
2,151J
3,7124
3,110E
3,151J
4,7124
4,110E
4,151J
5,7124
5,110E
5,151J
6,67G
7,67G
8,67G
9,67G
10,67G
11,7124
11,110E
11,151J
12,7124
12,110E
12,151J
13,94B
14,7124
14,110E
14,151J
15,7124
16,72X
17,72X
18,67G
19,67G
20,143H
21,143H
22,143H
23,143H
24,143H
25,67G
26,67G
27,72X
28,72X
29,69X
30,69X
31,94B
31,87J
32,94B
33,94B
34,14F
35,19J
36,101G
37,101G
38,14F
39,G701
39,68F
40,G701
40,68F
41,G701
41,68F
42,14F
43,14F
44,14F
45,14F
45,19J
46,110E
46,151J
47,7124
48,110E
48,151J
49,7124
50,49Y
50,Unknown1
51,49Y
51,79G
52,49Y
52,79G
53,68E
54,167I
54,86I
55,79G
56,59E
56,134J
57,35Y
57,59E
57,134J
58,167I
59,68E
60,Unknown1
60,Unknown2
61,167I
62,68E
63,79G
64,167I
64,Unknown1
64,Unknown2
65,59E
65,Unknown1
66,59E
66,134J
67,86I
68,68E
69,79G
69,Unknown1
70,49Y
70,Unknown1
71,68E
72,86I
73,86I
73,Unknown1
74,86I
74,Unknown1
75,35Y
75,59E
75,134J
76,Unknown1
77,167I
78,167I
78,Unknown1
79,68E
79,Unknown1
80,167I
81,G942
81,Unknown1
81,Unknown2
82,49Y
83,G942
83,Unknown1
83,Unknown2
84,86I
85,144H
86,79G
87,86I
87,Unknown1
88,144H
89,86I
90,58I
91,58I
91,46J
92,37I
93,58I
94,58I
94,46J
95,58I
96,58I
96,46J
97,58I
98,58I
99,58I
99,46J
100,58I
101,58I
102,58I
103,58I
104,58I
105,58I
106,58I
107,26J
108,26J
108,Unknown1
109,DF2I
110,86I
110,167I
111,68E
112,167I
113,167I
114,167I
115,86I
116,59E
116,134J
117,G942
118,48Z
118,Unknown1
119,59E
119,134J
120,167I
121,79G
121,70G
122,167I
123,Unknown1
124,Unknown1
125,68E
126,68E
127,68E
128,48Z
128,Unknown1
129,G942
130,70G
131,144H
132,79G
133,14F
133,19J
134,68F
