jpg_id,file_name,sd_card,date_taken,monkey_group
0,20220308_SD02_2923.JPG,SD02,2022-03-08,Stranger Things
1,20220308_SD02_2924.JPG,SD02,2022-03-08,Stranger Things
2,20220308_SD02_2946.JPG,SD02,2022-03-08,Zombies
3,20220308_SD02_2954.JPG,SD02,2022-03-08,Zombies
4,20220308_SD02_2955.JPG,SD02,2022-03-08,Zombies
5,20220308_SD02_2956.JPG,SD02,2022-03-08,Zombies
6,20220308_SD02_2958.JPG,SD02,2022-03-08,Zombies
7,20220308_SD02_2959.JPG,SD02,2022-03-08,Zombies
8,20220308_SD02_2960.JPG,SD02,2022-03-08,Zombies
9,20220308_SD02_2961.JPG,SD02,2022-03-08,Zombies
10,20220308_SD02_2963.JPG,SD02,2022-03-08,Zombies
11,20220308_SD02_2964.JPG,SD02,2022-03-08,Zombies
12,20220308_SD02_2974.JPG,SD02,2022-03-08,Zombies
13,20220308_SD02_2981.JPG,SD02,2022-03-08,Zombies
14,20220308_SD02_2982.JPG,SD02,2022-03-08,Zombies
15,20220308_SD02_2984.JPG,SD02,2022-03-08,Zombies
16,20220308_SD02_2986.JPG,SD02,2022-03-08,Zombies
17,20220308_SD02_2987.JPG,SD02,2022-03-08,Zombies
18,20220308_SD02_2988.JPG,SD02,2022-03-08,Zombies
19,20220308_SD02_2991.JPG,SD02,2022-03-08,Zombies
20,20220308_SD02_2993.JPG,SD02,2022-03-08,Zombies
21,20220308_SD02_2994.JPG,SD02,2022-03-08,Zombies
22,20220308_SD02_2995.JPG,SD02,2022-03-08,Zombies
23,20220308_SD02_2996.JPG,SD02,2022-03-08,Zombies
24,20220308_SD02_3000.JPG,SD02,2022-03-08,Zombies
25,20220308_SD02_3001.JPG,SD02,2022-03-08,Zombies
26,20220308_SD02_3002.JPG,SD02,2022-03-08,Zombies
27,20220308_SD02_3003.JPG,SD02,2022-03-08,Zombies
28,20220308_SD02_3004.JPG,SD02,2022-03-08,Zombies
29,20220308_SD02_3012.JPG,SD02,2022-03-08,Zombies
30,20220308_SD02_3013.JPG,SD02,2022-03-08,Zombies
31,20220308_SD02_3015.JPG,SD02,2022-03-08,Zombies
32,20220308_SD02_3016.JPG,SD02,2022-03-08,Zombies
33,20220308_SD02_3017.JPG,SD02,2022-03-08,Zombies
34,20220308_SD02_3022.JPG,SD02,2022-03-08,Best Frans
35,20220308_SD02_3023.JPG,SD02,2022-03-08,Best Frans
36,20220308_SD02_3026.JPG,SD02,2022-03-08,Best Frans
37,20220308_SD02_3027.JPG,SD02,2022-03-08,Best Frans
38,20220308_SD02_3029.JPG,SD02,2022-03-08,Best Frans
39,20220308_SD02_3031.JPG,SD02,2022-03-08,Best Frans
40,20220308_SD02_3032.JPG,SD02,2022-03-08,Best Frans
41,20220308_SD02_3033.JPG,SD02,2022-03-08,Best Frans
42,20220308_SD02_3034.JPG,SD02,2022-03-08,Best Frans
43,20220308_SD02_3035.JPG,SD02,2022-03-08,Best Frans
44,20220308_SD02_3036.JPG,SD02,2022-03-08,Best Frans
45,20220308_SD02_3039.JPG,SD02,2022-03-08,Best Frans
46,20220317_SD02_3089.JPG,SD02,2022-03-17,Zombies
47,20220317_SD02_3096.JPG,SD02,2022-03-17,Zombies
48,20220317_SD02_3103.JPG,SD02,2022-03-17,Zombies
49,20220317_SD02_3105.JPG,SD02,2022-03-17,Zombies
50,20220317_SD02_3111.JPG,SD02,2022-03-17,Instigators
51,20220317_SD02_3112.JPG,SD02,2022-03-17,Instigators
52,20220317_SD02_3113.JPG,SD02,2022-03-17,Instigators
53,20220317_SD02_3114.JPG,SD02,2022-03-17,Instigators
54,20220317_SD02_3116.JPG,SD02,2022-03-17,Instigators
55,20220317_SD02_3118.JPG,SD02,2022-03-17,Instigators
56,20220317_SD02_3119.JPG,SD02,2022-03-17,Instigators
57,20220317_SD02_3120.JPG,SD02,2022-03-17,Instigators
58,20220317_SD02_3121.JPG,SD02,2022-03-17,Instigators
59,20220317_SD02_3122.JPG,SD02,2022-03-17,Instigators
60,20220317_SD02_3125.JPG,SD02,2022-03-17,Instigators
61,20220317_SD02_3126.JPG,SD02,2022-03-17,Instigators
62,20220317_SD02_3129.JPG,SD02,2022-03-17,Instigators
63,20220317_SD02_3130.JPG,SD02,2022-03-17,Instigators
64,20220317_SD02_3131.JPG,SD02,2022-03-17,Instigators
65,20220317_SD02_3132.JPG,SD02,2022-03-17,Instigators
66,20220317_SD02_3133.JPG,SD02,2022-03-17,Instigators
67,20220317_SD02_3142.JPG,SD02,2022-03-17,Instigators
68,20220317_SD02_3143.JPG,SD02,2022-03-17,Instigators
69,20220317_SD02_3144.JPG,SD02,2022-03-17,Instigators
70,20220317_SD02_3148.JPG,SD02,2022-03-17,Instigators
71,20220317_SD02_3151.JPG,SD02,2022-03-17,Instigators
72,20220317_SD02_3152.JPG,SD02,2022-03-17,Instigators
73,20220317_SD02_3153.JPG,SD02,2022-03-17,Instigators
74,20220317_SD02_3154.JPG,SD02,2022-03-17,Instigators
75,20220317_SD02_3155.JPG,SD02,2022-03-17,Instigators
76,20220317_SD02_3156.JPG,SD02,2022-03-17,Instigators
77,20220317_SD02_3157.JPG,SD02,2022-03-17,Instigators
78,20220317_SD02_3159.JPG,SD02,2022-03-17,Instigators
79,20220317_SD02_3164.JPG,SD02,2022-03-17,Instigators
80,20220317_SD02_3165.JPG,SD02,2022-03-17,Instigators
81,20220317_SD02_3168.JPG,SD02,2022-03-17,Instigators
82,20220317_SD02_3170.JPG,SD02,2022-03-17,Instigators
83,20220317_SD02_3171.JPG,SD02,2022-03-17,Instigators
84,20220317_SD02_3172.JPG,SD02,2022-03-17,Instigators
