jpg_id,file_name,monkey_group,sd_card,date_taken
0,20220308_SD02_2923.JPG,Stranger Things,SD02,2022-03-08
1,20220308_SD02_2924.JPG,Stranger Things,SD02,2022-03-08
2,20220308_SD02_2946.JPG,Zombies,SD02,2022-03-08
3,20220308_SD02_2954.JPG,Zombies,SD02,2022-03-08
4,20220308_SD02_2955.JPG,Zombies,SD02,2022-03-08
5,20220308_SD02_2956.JPG,Zombies,SD02,2022-03-08
6,20220308_SD02_2958.JPG,Zombies,SD02,2022-03-08
7,20220308_SD02_2959.JPG,Zombies,SD02,2022-03-08
8,20220308_SD02_2960.JPG,Zombies,SD02,2022-03-08
9,20220308_SD02_2961.JPG,Zombies,SD02,2022-03-08
10,20220308_SD02_2963.JPG,Zombies,SD02,2022-03-08
11,20220308_SD02_2964.JPG,Zombies,SD02,2022-03-08
12,20220308_SD02_2974.JPG,Zombies,SD02,2022-03-08
13,20220308_SD02_2981.JPG,Zombies,SD02,2022-03-08
14,20220308_SD02_2982.JPG,Zombies,SD02,2022-03-08
15,20220308_SD02_2984.JPG,Zombies,SD02,2022-03-08
16,20220308_SD02_2986.JPG,Zombies,SD02,2022-03-08
17,20220308_SD02_2987.JPG,Zombies,SD02,2022-03-08
18,20220308_SD02_2988.JPG,Zombies,SD02,2022-03-08
19,20220308_SD02_2991.JPG,Zombies,SD02,2022-03-08
20,20220308_SD02_2993.JPG,Zombies,SD02,2022-03-08
21,20220308_SD02_2994.JPG,Zombies,SD02,2022-03-08
22,20220308_SD02_2995.JPG,Zombies,SD02,2022-03-08
23,20220308_SD02_2996.JPG,Zombies,SD02,2022-03-08
24,20220308_SD02_3000.JPG,Zombies,SD02,2022-03-08
25,20220308_SD02_3001.JPG,Zombies,SD02,2022-03-08
26,20220308_SD02_3002.JPG,Zombies,SD02,2022-03-08
27,20220308_SD02_3003.JPG,Zombies,SD02,2022-03-08
28,20220308_SD02_3004.JPG,Zombies,SD02,2022-03-08
29,20220308_SD02_3012.JPG,Zombies,SD02,2022-03-08
30,20220308_SD02_3013.JPG,Zombies,SD02,2022-03-08
31,20220308_SD02_3015.JPG,Zombies,SD02,2022-03-08
32,20220308_SD02_3016.JPG,Zombies,SD02,2022-03-08
33,20220308_SD02_3017.JPG,Zombies,SD02,2022-03-08
34,20220308_SD02_3022.JPG,Best Frans,SD02,2022-03-08
35,20220308_SD02_3023.JPG,Best Frans,SD02,2022-03-08
36,20220308_SD02_3026.JPG,Best Frans,SD02,2022-03-08
37,20220308_SD02_3027.JPG,Best Frans,SD02,2022-03-08
38,20220308_SD02_3029.JPG,Best Frans,SD02,2022-03-08
39,20220308_SD02_3031.JPG,Best Frans,SD02,2022-03-08
40,20220308_SD02_3032.JPG,Best Frans,SD02,2022-03-08
41,20220308_SD02_3033.JPG,Best Frans,SD02,2022-03-08
42,20220308_SD02_3034.JPG,Best Frans,SD02,2022-03-08
43,20220308_SD02_3035.JPG,Best Frans,SD02,2022-03-08
44,20220308_SD02_3036.JPG,Best Frans,SD02,2022-03-08
45,20220308_SD02_3039.JPG,Best Frans,SD02,2022-03-08
46,20220317_SD02_3089.JPG,Zombies,SD02,2022-03-17
47,20220317_SD02_3096.JPG,Zombies,SD02,2022-03-17
48,20220317_SD02_3103.JPG,Zombies,SD02,2022-03-17
49,20220317_SD02_3105.JPG,Zombies,SD02,2022-03-17
50,20220317_SD02_3111.JPG,Instigators,SD02,2022-03-17
51,20220317_SD02_3112.JPG,Instigators,SD02,2022-03-17
52,20220317_SD02_3113.JPG,Instigators,SD02,2022-03-17
53,20220317_SD02_3114.JPG,Instigators,SD02,2022-03-17
54,20220317_SD02_3116.JPG,Instigators,SD02,2022-03-17
55,20220317_SD02_3118.JPG,Instigators,SD02,2022-03-17
56,20220317_SD02_3119.JPG,Instigators,SD02,2022-03-17
57,20220317_SD02_3120.JPG,Instigators,SD02,2022-03-17
58,20220317_SD02_3121.JPG,Instigators,SD02,2022-03-17
59,20220317_SD02_3122.JPG,Instigators,SD02,2022-03-17
60,20220317_SD02_3125.JPG,Instigators,SD02,2022-03-17
61,20220317_SD02_3126.JPG,Instigators,SD02,2022-03-17
62,20220317_SD02_3129.JPG,Instigators,SD02,2022-03-17
63,20220317_SD02_3130.JPG,Instigators,SD02,2022-03-17
64,20220317_SD02_3131.JPG,Instigators,SD02,2022-03-17
65,20220317_SD02_3132.JPG,Instigators,SD02,2022-03-17
66,20220317_SD02_3133.JPG,Instigators,SD02,2022-03-17
67,20220317_SD02_3142.JPG,Instigators,SD02,2022-03-17
68,20220317_SD02_3143.JPG,Instigators,SD02,2022-03-17
69,20220317_SD02_3144.JPG,Instigators,SD02,2022-03-17
70,20220317_SD02_3148.JPG,Instigators,SD02,2022-03-17
71,20220317_SD02_3151.JPG,Instigators,SD02,2022-03-17
72,20220317_SD02_3152.JPG,Instigators,SD02,2022-03-17
73,20220317_SD02_3153.JPG,Instigators,SD02,2022-03-17
74,20220317_SD02_3154.JPG,Instigators,SD02,2022-03-17
75,20220317_SD02_3155.JPG,Instigators,SD02,2022-03-17
76,20220317_SD02_3156.JPG,Instigators,SD02,2022-03-17
77,20220317_SD02_3157.JPG,Instigators,SD02,2022-03-17
78,20220317_SD02_3159.JPG,Instigators,SD02,2022-03-17
79,20220317_SD02_3164.JPG,Instigators,SD02,2022-03-17
80,20220317_SD02_3165.JPG,Instigators,SD02,2022-03-17
81,20220317_SD02_3168.JPG,Instigators,SD02,2022-03-17
82,20220317_SD02_3170.JPG,Instigators,SD02,2022-03-17
83,20220317_SD02_3171.JPG,Instigators,SD02,2022-03-17
84,20220317_SD02_3172.JPG,Instigators,SD02,2022-03-17
85,20220317_SD02_3173.JPG,Instigators,SD02,2022-03-17
86,20220317_SD02_3174.JPG,Instigators,SD02,2022-03-17
87,20220317_SD02_3175.JPG,Instigators,SD02,2022-03-17
88,20220317_SD02_3176.JPG,Instigators,SD02,2022-03-17
89,20220317_SD02_3177.JPG,Instigators,SD02,2022-03-17
90,20220317_SD02_3182.JPG,Stranger Things,SD02,2022-03-17
91,20220317_SD02_3183.JPG,Stranger Things,SD02,2022-03-17
92,20220317_SD02_3184.JPG,Stranger Things,SD02,2022-03-17
93,20220317_SD02_3185.JPG,Stranger Things,SD02,2022-03-17
94,20220317_SD02_3186.JPG,Stranger Things,SD02,2022-03-17
95,20220317_SD02_3188.JPG,Stranger Things,SD02,2022-03-17
96,20220317_SD02_3190.JPG,Stranger Things,SD02,2022-03-17
97,20220317_SD02_3192.JPG,Stranger Things,SD02,2022-03-17
98,20220317_SD02_3193.JPG,Stranger Things,SD02,2022-03-17
99,20220317_SD02_3194.JPG,Stranger Things,SD02,2022-03-17
100,20220317_SD02_3196.JPG,Stranger Things,SD02,2022-03-17
101,20220317_SD02_3197.JPG,Stranger Things,SD02,2022-03-17
102,20220317_SD02_3198.JPG,Stranger Things,SD02,2022-03-17
103,20220317_SD02_3199.JPG,Stranger Things,SD02,2022-03-17
104,20220317_SD02_3209.JPG,Stranger Things,SD02,2022-03-17
105,20220317_SD02_3210.JPG,Stranger Things,SD02,2022-03-17
106,20220317_SD02_3212.JPG,Stranger Things,SD02,2022-03-17
107,20220317_SD02_3218.JPG,Stranger Things,SD02,2022-03-17
108,20220317_SD02_3219.JPG,Stranger Things,SD02,2022-03-17
109,20220317_SD02_3225.JPG,Stranger Things,SD02,2022-03-17
110,20220317_SD02_3232.JPG,Instigators,SD02,2022-03-17
111,20220317_SD02_3234.JPG,Instigators,SD02,2022-03-17
112,20220317_SD02_3236.JPG,Instigators,SD02,2022-03-17
113,20220317_SD02_3237.JPG,Instigators,SD02,2022-03-17
114,20220317_SD02_3238.JPG,Instigators,SD02,2022-03-17
115,20220317_SD02_3241.JPG,Instigators,SD02,2022-03-17
116,20220317_SD02_3244.JPG,Instigators,SD02,2022-03-17
117,20220317_SD02_3245.JPG,Instigators,SD02,2022-03-17
118,20220317_SD02_3247.JPG,Instigators,SD02,2022-03-17
119,20220317_SD02_3248.JPG,Instigators,SD02,2022-03-17
120,20220317_SD02_3249.JPG,Instigators,SD02,2022-03-17
121,20220317_SD02_3250.JPG,Instigators,SD02,2022-03-17
122,20220317_SD02_3252.JPG,Instigators,SD02,2022-03-17
123,20220317_SD02_3256.JPG,Instigators,SD02,2022-03-17
124,20220317_SD02_3257.JPG,Instigators,SD02,2022-03-17
125,20220317_SD02_3261.JPG,Instigators,SD02,2022-03-17
126,20220317_SD02_3262.JPG,Instigators,SD02,2022-03-17
127,20220317_SD02_3270.JPG,Instigators,SD02,2022-03-17
128,20220317_SD02_3271.JPG,Instigators,SD02,2022-03-17
129,20220317_SD02_3272.JPG,Instigators,SD02,2022-03-17
130,20220317_SD02_3273.JPG,Instigators,SD02,2022-03-17
131,20220317_SD02_3276.JPG,Instigators,SD02,2022-03-17
132,20220317_SD02_3280.JPG,Instigators,SD02,2022-03-17
133,20220317_SD02_3285.JPG,Best Frans,SD02,2022-03-17
134,20220317_SD02_3286.JPG,Best Frans,SD02,2022-03-17
135,20220317_SD02_3287.JPG,Best Frans,SD02,2022-03-17
136,20220317_SD02_3288.JPG,Best Frans,SD02,2022-03-17
137,20220317_SD02_3289.JPG,Best Frans,SD02,2022-03-17
138,20220317_SD02_3290.JPG,Best Frans,SD02,2022-03-17
139,20220317_SD02_3291.JPG,Best Frans,SD02,2022-03-17
140,20220317_SD02_3293.JPG,Best Frans,SD02,2022-03-17
141,20220317_SD02_3295.JPG,Best Frans,SD02,2022-03-17
142,20220317_SD02_3296.JPG,Best Frans,SD02,2022-03-17
143,20220317_SD02_3300.JPG,Best Frans,SD02,2022-03-17
144,20220317_SD02_3303.JPG,Best Frans,SD02,2022-03-17
