file_name,bndbox_name,coordinates
20220308_SD02_2923.JPG,DF2I_Face,"(0.36186799999999997, 0.0028209999999999997, 0.916308, 0.38222799999999996)"
20220308_SD02_2923.JPG,DF2I_Body,"(0.0, 0.0, 0.954399, 1.0)"
20220308_SD02_2924.JPG,DF2I_Face,"(0.34282199999999996, 0.0, 0.8845649999999999, 0.297602)"
20220308_SD02_2924.JPG,DF2I_Body,"(0.0, 0.0028209999999999997, 0.9755609999999999, 1.0)"
20220308_SD02_2946.JPG,7124_Body,"(0.002116, 0.0, 0.387262, 0.7334269999999999)"
20220308_SD02_2946.JPG,110E_Body,"(0.101577, 0.09591000000000001, 0.971329, 1.0)"
20220308_SD02_2946.JPG,7124_Face,"(0.0, 0.0, 0.378797, 0.31029599999999996)"
20220308_SD02_2946.JPG,151J_Body,"(0.126971, 0.35543, 0.8591709999999999, 0.943583)"
20220308_SD02_2946.JPG,151J_Face,"(0.152365, 0.35543, 0.5100009999999999, 0.558533)"
20220308_SD02_2946.JPG,110E_Face,"(0.118506, 0.094499, 0.5100009999999999, 0.389281)"
20220308_SD02_2954.JPG,151J_Face,"(0.42407799999999995, 0.587402, 0.6160519999999999, 0.877035)"
20220308_SD02_2954.JPG,151J_Body,"(0.41214799999999996, 0.584148, 0.854664, 1.0)"
20220308_SD02_2954.JPG,110E_Face,"(0.408894, 0.20014, 0.652928, 0.6150639999999999)"
20220308_SD02_2954.JPG,110E_Body,"(0.40347099999999997, 0.195258, 0.936009, 1.0)"
20220308_SD02_2954.JPG,7124_Face,"(0.130152, 0.016272, 0.394794, 0.5239429999999999)"
20220308_SD02_2954.JPG,7124_Body,"(0.12364399999999999, 0.014643999999999999, 0.505423, 1.0)"
20220308_SD02_2955.JPG,7124_Body,"(0.10846000000000001, 0.008136, 0.583514, 1.0)"
20220308_SD02_2955.JPG,7124_Face,"(0.129067, 0.009762999999999999, 0.373102, 0.522316)"
20220308_SD02_2955.JPG,110E_Body,"(0.37635599999999997, 0.167597, 0.978308, 0.9934909999999999)"
20220308_SD02_2955.JPG,151J_Body,"(0.276573, 0.5564859999999999, 0.685466, 1.0)"
20220308_SD02_2955.JPG,151J_Face,"(0.47397000000000006, 0.564622, 0.681128, 0.877035)"
20220308_SD02_2955.JPG,110E_Face,"(0.736443, 0.16597, 0.978308, 0.624826)"
20220308_SD02_2956.JPG,151J_Face,"(0.5523239999999999, 0.5133989999999999, 0.873984, 0.722144)"
20220308_SD02_2956.JPG,151J_Body,"(0.49942000000000003, 0.503526, 0.8993789999999999, 1.0)"
20220308_SD02_2956.JPG,110E_Face,"(0.5734859999999999, 0.22708000000000003, 0.9797939999999999, 0.506347)"
20220308_SD02_2956.JPG,110E_Body,"(0.48672299999999996, 0.22708000000000003, 1.0, 1.0)"
20220308_SD02_2956.JPG,7124_Face,"(0.038091, 0.157969, 0.556557, 0.447109)"
20220308_SD02_2956.JPG,7124_Body,"(0.021162, 0.152327, 0.6327389999999999, 0.953456)"
20220308_SD02_2958.JPG,67G_Face,"(0.41054, 0.286319, 0.70469, 0.499295)"
20220308_SD02_2958.JPG,67G_Body,"(0.211619, 0.279267, 0.717387, 0.8758819999999999)"
20220308_SD02_2959.JPG,67G_Face,"(0.39361, 0.320169, 0.681412, 0.51481)"
20220308_SD02_2959.JPG,67G_Body,"(0.209502, 0.307475, 0.7068059999999999, 0.901269)"
20220308_SD02_2960.JPG,67G_Body,"(0.114274, 0.293371, 0.696225, 0.856135)"
20220308_SD02_2960.JPG,67G_Face,"(0.391494, 0.296192, 0.6898759999999999, 0.48378000000000004)"
20220308_SD02_2961.JPG,67G_Face,"(0.308963, 0.25952000000000003, 0.562905, 0.434415)"
20220308_SD02_2961.JPG,67G_Body,"(0.105809, 0.25387899999999997, 0.579835, 0.87165)"
20220308_SD02_2963.JPG,67G_Body,"(0.172451, 0.050442, 0.533623, 0.963274)"
20220308_SD02_2963.JPG,67G_Face,"(0.303688, 0.061832, 0.45010799999999995, 0.288006)"
20220308_SD02_2964.JPG,151J_Body,"(0.6158100000000001, 0.45275000000000004, 1.0, 0.8801129999999999)"
20220308_SD02_2964.JPG,110E_Body,"(0.493071, 0.111425, 1.0, 1.0)"
20220308_SD02_2964.JPG,151J_Face,"(0.666598, 0.45839199999999997, 0.8274279999999999, 0.627645)"
20220308_SD02_2964.JPG,7124_Body,"(0.046556, 0.07334299999999999, 0.600997, 0.8827649999999999)"
20220308_SD02_2964.JPG,110E_Face,"(0.607345, 0.12835000000000002, 0.988258, 0.394922)"
20220308_SD02_2964.JPG,7124_Face,"(0.093112, 0.09308899999999999, 0.541743, 0.37799699999999997)"
20220308_SD02_2974.JPG,7124_Face,"(0.098698, 0.0, 0.38937099999999997, 0.398652)"
20220308_SD02_2974.JPG,7124_Body,"(0.0, 0.001627, 0.530369, 1.0)"
20220308_SD02_2974.JPG,110E_Face,"(0.536876, 0.12203599999999999, 0.7548809999999999, 0.49628099999999997)"
20220308_SD02_2974.JPG,110E_Body,"(0.542299, 0.11552799999999999, 1.0, 1.0)"
