jpg_id,coordinates,monkey_name,body_part
0,"(0.36186799999999997, 0.0028209999999999997, 0.916308, 0.38222799999999996)",DF2I,Face
0,"(0.0, 0.0, 0.954399, 1.0)",DF2I,Body
1,"(0.34282199999999996, 0.0, 0.8845649999999999, 0.297602)",DF2I,Face
1,"(0.0, 0.0028209999999999997, 0.9755609999999999, 1.0)",DF2I,Body
2,"(0.002116, 0.0, 0.387262, 0.7334269999999999)",7124,Body
2,"(0.101577, 0.09591000000000001, 0.971329, 1.0)",110E,Body
2,"(0.0, 0.0, 0.378797, 0.31029599999999996)",7124,Face
2,"(0.126971, 0.35543, 0.8591709999999999, 0.943583)",151J,Body
2,"(0.152365, 0.35543, 0.5100009999999999, 0.558533)",151J,Face
2,"(0.118506, 0.094499, 0.5100009999999999, 0.389281)",110E,Face
3,"(0.42407799999999995, 0.587402, 0.6160519999999999, 0.877035)",151J,Face
3,"(0.41214799999999996, 0.584148, 0.854664, 1.0)",151J,Body
3,"(0.408894, 0.20014, 0.652928, 0.6150639999999999)",110E,Face
3,"(0.40347099999999997, 0.195258, 0.936009, 1.0)",110E,Body
3,"(0.130152, 0.016272, 0.394794, 0.5239429999999999)",7124,Face
3,"(0.12364399999999999, 0.014643999999999999, 0.505423, 1.0)",7124,Body
4,"(0.10846000000000001, 0.008136, 0.583514, 1.0)",7124,Body
4,"(0.129067, 0.009762999999999999, 0.373102, 0.522316)",7124,Face
4,"(0.37635599999999997, 0.167597, 0.978308, 0.9934909999999999)",110E,Body
4,"(0.276573, 0.5564859999999999, 0.685466, 1.0)",151J,Body
4,"(0.47397000000000006, 0.564622, 0.681128, 0.877035)",151J,Face
4,"(0.736443, 0.16597, 0.978308, 0.624826)",110E,Face
5,"(0.5523239999999999, 0.5133989999999999, 0.873984, 0.722144)",151J,Face
5,"(0.49942000000000003, 0.503526, 0.8993789999999999, 1.0)",151J,Body
5,"(0.5734859999999999, 0.22708000000000003, 0.9797939999999999, 0.506347)",110E,Face
5,"(0.48672299999999996, 0.22708000000000003, 1.0, 1.0)",110E,Body
5,"(0.038091, 0.157969, 0.556557, 0.447109)",7124,Face
5,"(0.021162, 0.152327, 0.6327389999999999, 0.953456)",7124,Body
6,"(0.41054, 0.286319, 0.70469, 0.499295)",67G,Face
6,"(0.211619, 0.279267, 0.717387, 0.8758819999999999)",67G,Body
7,"(0.39361, 0.320169, 0.681412, 0.51481)",67G,Face
7,"(0.209502, 0.307475, 0.7068059999999999, 0.901269)",67G,Body
8,"(0.114274, 0.293371, 0.696225, 0.856135)",67G,Body
8,"(0.391494, 0.296192, 0.6898759999999999, 0.48378000000000004)",67G,Face
9,"(0.308963, 0.25952000000000003, 0.562905, 0.434415)",67G,Face
9,"(0.105809, 0.25387899999999997, 0.579835, 0.87165)",67G,Body
10,"(0.172451, 0.050442, 0.533623, 0.963274)",67G,Body
10,"(0.303688, 0.061832, 0.45010799999999995, 0.288006)",67G,Face
11,"(0.6158100000000001, 0.45275000000000004, 1.0, 0.8801129999999999)",151J,Body
11,"(0.493071, 0.111425, 1.0, 1.0)",110E,Body
11,"(0.666598, 0.45839199999999997, 0.8274279999999999, 0.627645)",151J,Face
11,"(0.046556, 0.07334299999999999, 0.600997, 0.8827649999999999)",7124,Body
11,"(0.607345, 0.12835000000000002, 0.988258, 0.394922)",110E,Face
11,"(0.093112, 0.09308899999999999, 0.541743, 0.37799699999999997)",7124,Face
12,"(0.098698, 0.0, 0.38937099999999997, 0.398652)",7124,Face
12,"(0.0, 0.001627, 0.530369, 1.0)",7124,Body
12,"(0.536876, 0.12203599999999999, 0.7548809999999999, 0.49628099999999997)",110E,Face
12,"(0.542299, 0.11552799999999999, 1.0, 1.0)",110E,Body
12,"(0.565076, 0.46862000000000004, 0.7277659999999999, 0.70293)",151J,Face
12,"(0.555315, 0.45723, 0.9132319999999999, 0.9112049999999999)",151J,Body
13,"(0.218216, 0.10901899999999999, 0.600324, 0.9194979999999999)",94B,Body
13,"(0.288503, 0.10901899999999999, 0.49783099999999997, 0.406788)",94B,Face
