monkey_id,jpg_id,monkey_name
0,0,DF2I
1,1,DF2I
2,2,110E
3,2,151J
4,2,7124
5,3,110E
6,3,151J
7,3,7124
8,4,110E
9,4,151J
10,4,7124
11,5,110E
12,5,151J
13,5,7124
14,6,67G
15,7,67G
16,8,67G
17,9,67G
18,10,67G
19,11,110E
20,11,151J
21,11,7124
22,12,110E
23,12,151J
24,12,7124
25,13,94B
26,14,110E
27,14,151J
28,14,7124
29,15,7124
30,16,72X
31,17,72X
32,18,67G
33,19,67G
34,20,143H
35,21,143H
36,22,143H
37,23,143H
38,24,143H
39,25,67G
40,26,67G
41,27,72X
42,28,72X
43,29,69X
44,30,69X
45,31,87J
46,31,94B
47,32,94B
48,33,94B
49,34,14F
50,35,19J
51,36,101G
52,37,101G
53,38,14F
54,39,68F
55,39,G701
56,40,68F
57,40,G701
58,41,68F
59,41,G701
60,42,14F
61,43,14F
62,44,14F
63,45,14F
64,45,19J
65,46,110E
66,46,151J
67,46,Unknown1
68,47,7124
69,48,110E
70,48,151J
71,49,7124
72,50,49Y
73,50,Unknown1
74,51,49Y
75,51,79G
76,52,49Y
77,52,79G
78,53,68E
79,54,167I
80,54,86I
81,55,79G
82,56,134J
83,56,59E
84,57,134J
85,57,167I
86,57,35Y
87,57,59E
88,58,167I
89,59,68E
90,60,Unknown1
91,60,Unknown2
92,61,167I
93,62,68E
94,63,79G
95,64,167I
96,64,Unknown1
97,64,Unknown2
98,65,59E
99,65,Unknown1
100,66,134J
101,66,59E
102,67,86I
103,68,68E
104,69,79G
105,69,Unknown1
106,70,49Y
107,70,Unknown1
108,71,68E
109,72,86I
110,73,86I
111,73,Unknown1
112,74,86I
113,74,Unknown1
114,75,134J
115,75,35Y
116,75,59E
117,76,Unknown1
118,77,167I
119,78,167I
120,78,Unknown1
121,79,68E
122,79,Unknown1
123,80,167I
124,81,G942
125,81,Unknown1
126,81,Unknown2
127,82,49Y
128,83,G942
129,83,Unknown1
130,83,Unknown2
131,84,86I
132,85,144H
133,86,79G
134,87,86I
135,87,Unknown1
136,88,144H
137,89,86I
138,90,58I
139,91,46J
140,91,58I
141,92,37I
142,92,58I
143,93,58I
144,94,46J
145,94,58I
146,95,58I
147,96,46J
148,96,58I
149,97,58I
150,98,58I
151,99,46J
152,99,58I
153,100,58I
154,101,58I
155,102,58I
156,103,58I
157,104,58I
158,105,58I
159,106,58I
160,107,26J
161,108,26J
162,108,Unknown1
163,109,DF2I
164,110,167I
165,110,86I
166,111,68E
167,112,167I
168,113,167I
169,114,167I
170,115,86I
171,116,134J
172,116,59E
173,117,G942
174,118,48Z
175,118,Unknown1
176,119,134J
177,119,59E
178,120,167I
179,121,70G
180,121,79G
181,122,167I
182,123,Unknown1
183,124,Unknown1
184,125,68E
185,126,68E
186,127,68E
187,128,48Z
188,128,49Y
189,128,Unknown1
190,129,G942
191,130,70G
192,131,144H
193,132,79G
194,133,14F
195,133,19J
196,134,101G
197,134,68F
198,135,101G
199,135,68F
200,136,101G
201,136,68F
202,137,101G
203,137,68F
204,138,101G
205,138,68F
206,139,101G
207,139,68F
208,140,G701
209,141,68F
210,142,68F
211,143,G701
212,144,G701
213,145,G701
214,146,14F
215,147,14F
216,148,14F
217,149,14F
218,149,Unknown1
219,150,19J
220,151,19J
221,152,68F
222,153,101G
223,153,Unknown1
224,154,G701
225,155,68F
226,156,101G
227,157,86I
228,158,167I
229,158,Unknown1
230,158,Unknown2
231,159,167I
232,159,Unknown1
233,159,Unknown2
234,160,167I
235,160,Unknown1
236,160,Unknown2
237,161,167I
238,161,Unknown1
239,161,Unknown2
240,162,167I
241,162,Unknown1
242,162,Unknown2
243,163,114J
244,163,35Y
245,164,114J
246,164,35Y
247,165,114J
248,165,35Y
249,166,114J
250,166,35Y
251,167,167I
252,167,Unknown1
253,168,167I
254,168,Unknown1
255,169,70G
256,170,70G
257,171,70G
258,171,Unknown1
259,172,144H
260,173,144H
261,174,144H
262,175,144H
263,176,167I
264,177,167I
265,178,167I
266,179,167I
267,180,167I
268,181,167I
269,182,144H
270,183,144H
271,184,144H
272,184,Unknown1
273,185,79G
274,186,79G
275,187,79G
276,188,Unknown1
277,189,42Z
278,190,Unknown1
279,191,42Z
280,192,42Z
281,193,42K
282,193,68E
283,193,70G
284,193,Unknown1
285,193,Unknown2
286,194,42K
287,194,68E
288,194,70G
