jpg_id,file_name,sd_card,date_taken,monkey_group,orientation,contents
0,20220308_SD02_2923.JPG,SD02,2022-03-08,Stranger Things,portrait,monkey
1,20220308_SD02_2924.JPG,SD02,2022-03-08,Stranger Things,portrait,monkey
2,20220308_SD02_2946.JPG,SD02,2022-03-08,Zombies,portrait,monkey
3,20220308_SD02_2954.JPG,SD02,2022-03-08,Zombies,landscape,monkey
4,20220308_SD02_2955.JPG,SD02,2022-03-08,Zombies,landscape,monkey
5,20220308_SD02_2956.JPG,SD02,2022-03-08,Zombies,portrait,monkey
6,20220308_SD02_2958.JPG,SD02,2022-03-08,Zombies,portrait,monkey
7,20220308_SD02_2959.JPG,SD02,2022-03-08,Zombies,portrait,monkey
8,20220308_SD02_2960.JPG,SD02,2022-03-08,Zombies,portrait,monkey
9,20220308_SD02_2961.JPG,SD02,2022-03-08,Zombies,portrait,monkey
10,20220308_SD02_2963.JPG,SD02,2022-03-08,Zombies,landscape,monkey
11,20220308_SD02_2964.JPG,SD02,2022-03-08,Zombies,portrait,monkey
12,20220308_SD02_2974.JPG,SD02,2022-03-08,Zombies,landscape,monkey
13,20220308_SD02_2981.JPG,SD02,2022-03-08,Zombies,landscape,monkey
14,20220308_SD02_2982.JPG,SD02,2022-03-08,Zombies,portrait,monkey
15,20220308_SD02_2984.JPG,SD02,2022-03-08,Zombies,landscape,monkey
16,20220308_SD02_2986.JPG,SD02,2022-03-08,Zombies,portrait,monkey
17,20220308_SD02_2987.JPG,SD02,2022-03-08,Zombies,portrait,monkey
18,20220308_SD02_2988.JPG,SD02,2022-03-08,Zombies,portrait,monkey
19,20220308_SD02_2991.JPG,SD02,2022-03-08,Zombies,portrait,monkey
20,20220308_SD02_2993.JPG,SD02,2022-03-08,Zombies,portrait,monkey
21,20220308_SD02_2994.JPG,SD02,2022-03-08,Zombies,portrait,monkey
22,20220308_SD02_2995.JPG,SD02,2022-03-08,Zombies,portrait,monkey
23,20220308_SD02_2996.JPG,SD02,2022-03-08,Zombies,landscape,monkey
24,20220308_SD02_3000.JPG,SD02,2022-03-08,Zombies,portrait,monkey
25,20220308_SD02_3001.JPG,SD02,2022-03-08,Zombies,portrait,monkey
26,20220308_SD02_3002.JPG,SD02,2022-03-08,Zombies,portrait,monkey
27,20220308_SD02_3003.JPG,SD02,2022-03-08,Zombies,portrait,monkey
28,20220308_SD02_3004.JPG,SD02,2022-03-08,Zombies,portrait,monkey
29,20220308_SD02_3012.JPG,SD02,2022-03-08,Zombies,portrait,monkey
30,20220308_SD02_3013.JPG,SD02,2022-03-08,Zombies,portrait,monkey
31,20220308_SD02_3015.JPG,SD02,2022-03-08,Zombies,portrait,monkey
32,20220308_SD02_3016.JPG,SD02,2022-03-08,Zombies,portrait,monkey
33,20220308_SD02_3017.JPG,SD02,2022-03-08,Zombies,portrait,monkey
34,20220308_SD02_3022.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
35,20220308_SD02_3023.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
36,20220308_SD02_3026.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
37,20220308_SD02_3027.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
38,20220308_SD02_3029.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
39,20220308_SD02_3031.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
40,20220308_SD02_3032.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
41,20220308_SD02_3033.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
42,20220308_SD02_3034.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
43,20220308_SD02_3035.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
44,20220308_SD02_3036.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
45,20220308_SD02_3039.JPG,SD02,2022-03-08,Best Frans,portrait,monkey
46,20220317_SD02_3089.JPG,SD02,2022-03-17,Zombies,landscape,monkey
47,20220317_SD02_3096.JPG,SD02,2022-03-17,Zombies,landscape,monkey
48,20220317_SD02_3103.JPG,SD02,2022-03-17,Zombies,portrait,monkey
49,20220317_SD02_3105.JPG,SD02,2022-03-17,Zombies,landscape,monkey
50,20220317_SD02_3111.JPG,SD02,2022-03-17,Instigators,portrait,monkey
51,20220317_SD02_3112.JPG,SD02,2022-03-17,Instigators,portrait,monkey
52,20220317_SD02_3113.JPG,SD02,2022-03-17,Instigators,portrait,monkey
53,20220317_SD02_3114.JPG,SD02,2022-03-17,Instigators,portrait,monkey
54,20220317_SD02_3116.JPG,SD02,2022-03-17,Instigators,portrait,monkey
55,20220317_SD02_3118.JPG,SD02,2022-03-17,Instigators,portrait,monkey
56,20220317_SD02_3119.JPG,SD02,2022-03-17,Instigators,portrait,monkey
57,20220317_SD02_3120.JPG,SD02,2022-03-17,Instigators,landscape,monkey
58,20220317_SD02_3121.JPG,SD02,2022-03-17,Instigators,portrait,monkey
59,20220317_SD02_3122.JPG,SD02,2022-03-17,Instigators,portrait,monkey
60,20220317_SD02_3125.JPG,SD02,2022-03-17,Instigators,portrait,monkey
61,20220317_SD02_3126.JPG,SD02,2022-03-17,Instigators,portrait,monkey
62,20220317_SD02_3129.JPG,SD02,2022-03-17,Instigators,portrait,monkey
63,20220317_SD02_3130.JPG,SD02,2022-03-17,Instigators,portrait,monkey
64,20220317_SD02_3131.JPG,SD02,2022-03-17,Instigators,portrait,monkey
65,20220317_SD02_3132.JPG,SD02,2022-03-17,Instigators,portrait,monkey
66,20220317_SD02_3133.JPG,SD02,2022-03-17,Instigators,portrait,monkey
67,20220317_SD02_3142.JPG,SD02,2022-03-17,Instigators,portrait,monkey
68,20220317_SD02_3143.JPG,SD02,2022-03-17,Instigators,portrait,monkey
69,20220317_SD02_3144.JPG,SD02,2022-03-17,Instigators,portrait,monkey
70,20220317_SD02_3148.JPG,SD02,2022-03-17,Instigators,portrait,monkey
71,20220317_SD02_3151.JPG,SD02,2022-03-17,Instigators,portrait,monkey
72,20220317_SD02_3152.JPG,SD02,2022-03-17,Instigators,portrait,monkey
73,20220317_SD02_3153.JPG,SD02,2022-03-17,Instigators,portrait,monkey
74,20220317_SD02_3154.JPG,SD02,2022-03-17,Instigators,portrait,monkey
75,20220317_SD02_3155.JPG,SD02,2022-03-17,Instigators,portrait,monkey
76,20220317_SD02_3156.JPG,SD02,2022-03-17,Instigators,portrait,monkey
77,20220317_SD02_3157.JPG,SD02,2022-03-17,Instigators,portrait,monkey
78,20220317_SD02_3159.JPG,SD02,2022-03-17,Instigators,portrait,monkey
79,20220317_SD02_3164.JPG,SD02,2022-03-17,Instigators,landscape,monkey
80,20220317_SD02_3165.JPG,SD02,2022-03-17,Instigators,landscape,monkey
81,20220317_SD02_3168.JPG,SD02,2022-03-17,Instigators,landscape,monkey
82,20220317_SD02_3170.JPG,SD02,2022-03-17,Instigators,landscape,monkey
83,20220317_SD02_3171.JPG,SD02,2022-03-17,Instigators,portrait,monkey
84,20220317_SD02_3172.JPG,SD02,2022-03-17,Instigators,portrait,monkey
85,20220317_SD02_3173.JPG,SD02,2022-03-17,Instigators,portrait,monkey
86,20220317_SD02_3174.JPG,SD02,2022-03-17,Instigators,portrait,monkey
87,20220317_SD02_3175.JPG,SD02,2022-03-17,Instigators,landscape,monkey
88,20220317_SD02_3176.JPG,SD02,2022-03-17,Instigators,landscape,monkey
89,20220317_SD02_3177.JPG,SD02,2022-03-17,Instigators,landscape,monkey
90,20220317_SD02_3182.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
91,20220317_SD02_3183.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
92,20220317_SD02_3184.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
93,20220317_SD02_3185.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
94,20220317_SD02_3186.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
95,20220317_SD02_3188.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
96,20220317_SD02_3190.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
97,20220317_SD02_3192.JPG,SD02,2022-03-17,Stranger Things,portrait,monkey
98,20220317_SD02_3193.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
99,20220317_SD02_3194.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
100,20220317_SD02_3196.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
101,20220317_SD02_3197.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
102,20220317_SD02_3198.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
103,20220317_SD02_3199.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
104,20220317_SD02_3209.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
105,20220317_SD02_3210.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
106,20220317_SD02_3212.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
107,20220317_SD02_3218.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
108,20220317_SD02_3219.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
109,20220317_SD02_3225.JPG,SD02,2022-03-17,Stranger Things,landscape,monkey
110,20220317_SD02_3232.JPG,SD02,2022-03-17,Instigators,landscape,monkey
111,20220317_SD02_3234.JPG,SD02,2022-03-17,Instigators,portrait,monkey
112,20220317_SD02_3236.JPG,SD02,2022-03-17,Instigators,landscape,monkey
113,20220317_SD02_3237.JPG,SD02,2022-03-17,Instigators,landscape,monkey
114,20220317_SD02_3238.JPG,SD02,2022-03-17,Instigators,landscape,monkey
115,20220317_SD02_3241.JPG,SD02,2022-03-17,Instigators,landscape,monkey
116,20220317_SD02_3244.JPG,SD02,2022-03-17,Instigators,portrait,monkey
117,20220317_SD02_3245.JPG,SD02,2022-03-17,Instigators,landscape,monkey
