,jpg_id,file_name,date_annotated,mkgroup,total_num_mk,idable_num_mk,monkey_ids
0,21370,20220308_SD02_2946.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
1,21371,20220308_SD02_2954.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
2,21372,20220308_SD02_2955.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
3,21373,20220308_SD02_2956.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
4,21374,20220308_SD02_2958.JPG,2022-06-27,Zombies,1,1,67G
5,21375,20220308_SD02_2959.JPG,2022-06-27,Zombies,1,1,67G
6,21376,20220308_SD02_2960.JPG,2022-06-27,Zombies,1,1,67G
7,21377,20220308_SD02_2961.JPG,2022-06-27,Zombies,1,1,67G
8,21378,20220308_SD02_2963.JPG,2022-06-27,Zombies,1,1,67G
9,21379,20220308_SD02_2964.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
10,213710,20220308_SD02_2974.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
11,213711,20220308_SD02_2981.JPG,2022-06-27,Zombies,1,1,94B
12,213712,20220308_SD02_2982.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
13,213713,20220308_SD02_2984.JPG,2022-06-27,Zombies,1,1,7124
14,213714,20220308_SD02_2986.JPG,2022-06-27,Zombies,1,1,72X
15,213715,20220308_SD02_2987.JPG,2022-06-27,Zombies,1,1,72X
16,213716,20220308_SD02_2988.JPG,2022-06-27,Zombies,1,1,67G
17,213717,20220308_SD02_2991.JPG,2022-06-27,Zombies,1,1,67G
18,213718,20220308_SD02_2993.JPG,2022-06-27,Zombies,1,1,143H
19,213719,20220308_SD02_2994.JPG,2022-06-27,Zombies,1,1,143H
20,213720,20220308_SD02_2995.JPG,2022-06-27,Zombies,1,1,143H
21,213721,20220308_SD02_2996.JPG,2022-06-27,Zombies,1,1,143H
22,213722,20220308_SD02_3000.JPG,2022-06-27,Zombies,1,1,143H
23,213723,20220308_SD02_3001.JPG,2022-06-27,Zombies,1,1,67G
24,213724,20220308_SD02_3002.JPG,2022-06-27,Zombies,1,1,67G
25,213725,20220308_SD02_3003.JPG,2022-06-27,Zombies,1,1,72X
26,213726,20220308_SD02_3004.JPG,2022-06-27,Zombies,1,1,72X
27,213727,20220308_SD02_3012.JPG,2022-06-27,Zombies,1,1,69X
28,213728,20220308_SD02_3013.JPG,2022-06-27,Zombies,1,1,69X
29,213729,20220308_SD02_3015.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
30,213730,20220308_SD02_3016.JPG,2022-06-27,Zombies,1,1,94B
31,213731,20220308_SD02_3017.JPG,2022-06-27,Zombies,1,1,94B
32,213732,20220317_SD02_3089.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
33,213733,20220317_SD02_3096.JPG,2022-06-27,Zombies,1,1,7124
34,213734,20220317_SD02_3103.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
35,213735,20220317_SD02_3105.JPG,2022-06-27,Zombies,1,1,7124
36,213736,20220406_SD01_3774.JPG,2022-06-27,Zombies,1,1,94B
37,213737,20220406_SD01_3778.JPG,2022-06-27,Zombies,1,1,87J
38,213738,20220406_SD01_3780.JPG,2022-06-27,Zombies,1,1,81G
39,213739,20220406_SD01_3781.JPG,2022-06-27,Zombies,1,1,81G
40,213740,20220406_SD01_3782.JPG,2022-06-27,Zombies,1,1,143H
41,213741,20220406_SD01_3784.JPG,2022-06-27,Zombies,2,1,"110E, Unknown1"
42,213742,20220406_SD01_3785.JPG,2022-06-27,Zombies,2,1,"110E, Unknown1"
43,213743,20220406_SD01_3786.JPG,2022-06-27,Zombies,1,1,7124
44,213744,20220406_SD01_3790.JPG,2022-06-27,Zombies,1,1,81G
45,213745,20220406_SD01_3791.JPG,2022-06-27,Zombies,1,0,Unknown1
46,213746,20220406_SD01_3796.JPG,2022-06-27,Zombies,1,1,143H
47,213747,20220406_SD01_3806.JPG,2022-06-27,Zombies,1,1,143H
48,213748,20220406_SD01_3807.JPG,2022-06-27,Zombies,1,1,69X
49,213749,20220406_SD01_3812.JPG,2022-06-27,Zombies,2,2,"72X, 143H"
50,213750,20220406_SD01_3813.JPG,2022-06-27,Zombies,3,2,"72X, 143H, Unknown1"
51,213751,20220415_SD01_4192.JPG,2022-06-27,Zombies,1,1,94B
52,213752,20220415_SD01_4198.JPG,2022-06-27,Zombies,1,1,81G
53,213753,20220415_SD01_4202.JPG,2022-06-27,Zombies,1,0,Unknown1
54,213754,20220415_SD01_4209.JPG,2022-06-27,Zombies,1,1,72X
55,213755,20220415_SD01_4210.JPG,2022-06-27,Zombies,1,1,72X
56,213756,20220415_SD01_4213.JPG,2022-06-27,Zombies,2,1,"143H, Unknown1"
57,213757,20220415_SD01_4214.JPG,2022-06-27,Zombies,1,1,69X
58,213758,20220415_SD01_4220.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
59,213759,20220415_SD01_4232.JPG,2022-06-27,Zombies,1,1,143H
60,213760,20220415_SD01_4238.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
61,213761,20220415_SD01_4239.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
62,213762,20220415_SD01_4240.JPG,2022-06-27,Zombies,1,1,81G
63,213763,20220415_SD01_4241.JPG,2022-06-27,Zombies,1,1,81G
64,213764,20220415_SD01_4246.JPG,2022-06-27,Zombies,1,1,69X
65,213765,20220421_SD02_4861.JPG,2022-06-27,Zombies,1,0,Unknown1
66,213766,20220421_SD02_4865.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
67,213767,20220421_SD02_4866.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
68,213768,20220421_SD02_4869.JPG,2022-06-27,Zombies,1,1,94B
69,213769,20220421_SD02_4873.JPG,2022-06-27,Zombies,1,1,94B
70,213770,20220421_SD02_4876.JPG,2022-06-27,Zombies,1,1,143H
71,213771,20220421_SD02_4877.JPG,2022-06-27,Zombies,1,1,94B
72,213772,20220421_SD02_4880.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
73,213773,20220421_SD02_4881.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
74,213774,20220421_SD02_4883.JPG,2022-06-27,Zombies,1,1,110E
75,213775,20220421_SD02_4884.JPG,2022-06-27,Zombies,1,1,110E
76,213776,20220421_SD02_4885.JPG,2022-06-27,Zombies,1,1,110E
77,213777,20220421_SD02_4887.JPG,2022-06-27,Zombies,1,1,94B
78,213778,20220421_SD02_4888.JPG,2022-06-27,Zombies,1,1,69X
79,213779,20220421_SD02_4889.JPG,2022-06-27,Zombies,1,1,69X
80,213780,20220421_SD02_4890.JPG,2022-06-27,Zombies,1,1,69X
81,213781,20220421_SD02_4893.JPG,2022-06-27,Zombies,2,2,"67G, 143H"
82,213782,20220421_SD02_4894.JPG,2022-06-27,Zombies,2,2,"67G, 143H"
83,213783,20220421_SD02_4895.JPG,2022-06-27,Zombies,1,1,143H
84,213784,20220421_SD02_4896.JPG,2022-06-27,Zombies,1,0,Unknown1
85,213785,20220421_SD02_4897.JPG,2022-06-27,Zombies,1,0,Unknown1
86,213786,20220421_SD02_4898.JPG,2022-06-27,Zombies,1,0,Unknown1
87,213787,20220421_SD02_4899.JPG,2022-06-27,Zombies,1,0,Unknown1
88,213788,20220421_SD02_4900.JPG,2022-06-27,Zombies,1,0,Unknown1
89,213789,20220421_SD02_4901.JPG,2022-06-27,Zombies,1,0,Unknown1
90,213790,20220421_SD02_4903.JPG,2022-06-27,Zombies,1,1,94B
91,213791,20220421_SD02_4904.JPG,2022-06-27,Zombies,1,1,94B
92,213792,20220421_SD02_4905.JPG,2022-06-27,Zombies,1,1,69X
93,213793,20220421_SD02_4912.JPG,2022-06-27,Zombies,1,1,69X
94,213794,20220421_SD02_4913.JPG,2022-06-27,Zombies,1,1,69X
95,213795,20220421_SD02_4914.JPG,2022-06-27,Zombies,1,1,69X
96,213796,20220421_SD02_4915.JPG,2022-06-27,Zombies,1,1,69X
97,213797,20220421_SD02_5010.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
98,213798,20220421_SD02_5012.JPG,2022-06-27,Zombies,1,1,151J
99,213799,20220421_SD02_5013.JPG,2022-06-27,Zombies,2,1,"7124, Unknown1"
100,2137100,20220421_SD02_5014.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
101,2137101,20220421_SD02_5015.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
102,2137102,20220421_SD02_5023.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
103,2137103,20220421_SD02_5024.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
104,2137104,20220421_SD02_5026.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
105,2137105,20220421_SD02_5027.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
106,2137106,20220421_SD02_5028.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
107,2137107,20220421_SD02_5029.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
108,2137108,20220421_SD02_5030.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
