monkey_id,unknown_guess
67,
73,NN
90,I
91,NN
96,Juvenile
97,NN
99,Juvenile
105,Adult Female
107,Adult Female
111,J
113,J
117,J
120,Adult Female
122,NN
125,Adult Female
126,JK
129,Adult Female
130,JK
135,Adult Female
162,NN
175,NN
182,J
183,J
189,Adult Female
218,NN
223,NN
229,Adult Female
230,JK
232,Adult Female
233,JK
235,Adult Female
236,JK
238,Adult Female
239,JK
241,Adult Female
242,JK
252,NN
254,NN
258,Adult Female
272,
276,Juvenile
278,J
284,
285,
289,
290,
291,J
295,Juvenile
347,J
348,J
350,DNK
351,J
352,I
353,J
354,J
355,J
356,J
357,J
358,J
359,J
360,J
368,Juvenile
369,Juvenile
370,Juvenile
375,Juvenile
378,Juvenile
379,Juvenile
382,Juvenile
383,Juvenile
386,Juvenile
387,Juvenile
390,Juvenile
391,Juvenile
394,Juvenile
395,Juvenile
397,Juvenile
398,
399,Juvenile
400,Juvenile
404,Juvenile
405,Juvenile
406,Juvenile
407,Juvenile
409,Juvenile
410,Juvenile
411,Juvenile
426,Juvenile
455,Adult Female
460,J
468,J
470,J
473,J
482,J
489,I
490,J
492,J
495,NN
507,J
512,Juvenile
522,J
526,Adult Female
545,Adult Female
547,Adult Female
614,NN
616,J
637,NN
671,NN
674,NN
686,J
687,NN
688,J
694,J
708,J
709,J
710,J
728,
735,
767,Juvenile
769,J
771,J
783,J
794,I
809,J
810,J
811,J
812,J
813,J
814,J
815,J
816,J
817,J
818,J
819,J
820,J
821,J
822,J
824,J
826,J
827,Juvenile
831,Juvenile
832,Juvenile
834,Juvenile
836,Juvenile
838,Juvenile
840,Juvenile
841,J
842,J
847,Juvenile
849,Juvenile
851,Juvenile
853,Juvenile
859,Juvenile
861,Juvenile
865,Juvenile
867,Juvenile
869,Juvenile
871,Juvenile
873,Juvenile
876,J
890,Juvenile
892,Juvenile
894,J
919,J
920,J
921,J
922,J
923,J
924,J
980,NN
1059,J
1060,NN
1062,J
1063,DNK
1064,J
1074,NN
1076,NN
1078,J
1084,J
1085,J
1086,J
1087,J
1088,J
1089,J
1090,J
1091,J
1092,Juvenile
1095,J
1097,J
1098,Juvenile
1099,Juvenile
1100,Juvenile
1101,Juvenile
1102,Juvenile
1103,J
1104,Juvenile
1105,J
1106,Juvenile
1111,J
1112,NN
1113,J
1115,J
1138,
1194,Adult Female
1205,J
1220,NN
1287,NN
1304,NN
1308,NN
1317,NN
1319,J
1320,J
1321,72X
1326,J
1399,
1400,
1422,
1423,
1426,
1427,
1430,
1431,
1440,J
1441,J
1442,J
1464,I
1465,J
1470,J
1518,J
1520,72X
1521,J
1523,72X
1524,J
1528,J
1531,J
1534,J
1535,J
1546,NN
1548,NN
1555,NN
1558,Adult Female
1559,K
1561,J
1563,J
1570,J
1571,NN
1572,J
1573,NN
1574,J
1596,NN
1606,J
1608,J
1618,NN
1619,J
1621,NN
1623,J
1624,
1626,J
1628,J
1630,J
1633,J
1658,NN
1728,NN
1754,NN
1758,NN
1958,NN
1969,NN
2164,Adult Female
2167,Adult Female
2170,Adult Female
2351,143H
2426,NN
2466,NN
2473,NN
